,Code of Conduct,,,,,,,,,,,Policies,,,Monitoring,,,,,,,,,,,,,,,,,,,,
,Does the brand have a code that addresses labor standards?,Does the code include elimination of child labor?,Does the code include abolition of forced or compulsory labor?,Does the code include freedom of association?,Does the code include rights to collective bargaining?,Does the code prohibit discrimination on the basis of personal attributes or affiliations?,Does the code prohibit use of regular and excessive overtime?,Are suppliers required to ensure freedom of movement for employees and their right to leave and enter work voluntarily?,Are suppliers prohibited from using recruitment fees?,Does the code apply to multiple levels of the supply chain?,Is the code included in supplier contracts?,Does the brand have a policy of non-interference toward trade unions and worker organizing?,Has the brand taken steps to use responsible purchasing practices?,Does brand have a policy that addresses subcontracting in the supply chain (inlcuding homework)?*,Does the brand monitor at least 75% of its direct CMT suppliers annually?*,Does the brand monitor at least 75% of its inputs suppliers annually? (one input,Does the brand monitor at least 75% of its raw materials suppliers annually? (one raw material),Does the brand monitor at least 75% of its CMT suppliers with unannounced visits or off-site worker interviews?*,Child Labor Best Score,Forced Labor Best Score,Unions,General Workers Rights,Supply Chain,Monitoring,Child Labor Grade,Forced LaborGrade),Union Grade,General Workers Rights Score,Supply Chain Score,Monitorning Score,Grand Total Score,Child Labor Grade,Forced LaborGrade),Worker's Rights Score Overall,Grand Total Score
Abercrombie & Fitch,2,2,2,2,0,2,1,0,0,0,0,1,0,0,1,0,0,1,10,14,4,6,8,8,40%,43%,25%,83%,0%,25%,39%,40%,43%,33%,39%
Aeropostale,2,2,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,10,14,4,6,8,8,30%,29%,0%,83%,0%,13%,33%,30%,29%,24%,28%
adidas,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,10,14,4,6,8,8,50%,43%,100%,83%,100%,38%,83%,50%,43%,80%,58%
Alta Gracia,2,2,2,2,2,2,1,0,0,0,2,2,2,0,2,0,0,2,10,14,4,6,8,8,60%,29%,100%,83%,50%,50%,64%,60%,29%,71%,53%
American Eagle,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,0,0,2,10,14,4,6,8,8,60%,43%,100%,83%,75%,50%,81%,60%,43%,77%,60%
Arc'teryx,1,1,1,1,0,1,1,0,0,0,0,0,0,0,2,0,0,2,10,14,4,6,8,8,50%,14%,0%,50%,0%,50%,28%,50%,14%,25%,30%
Blauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,4,6,8,8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Carter's,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,14,4,6,8,8,20%,14%,0%,33%,0%,25%,17%,20%,14%,15%,16%
Disney,2,2,2,2,2,2,1,2,2,1,2,2,0,0,1,0,0,1,10,14,4,6,8,8,40%,43%,100%,83%,38%,25%,67%,40%,43%,61%,48%
Eileen Fisher,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,1,0,1,10,14,4,6,8,8,50%,43%,100%,100%,75%,38%,81%,50%,43%,78%,57%
Elbeco,1,1,1,1,1,1,1,1,0,0,0,2,0,0,1,0,0,1,10,14,4,6,8,8,30%,21%,75%,50%,0%,25%,33%,30%,21%,38%,30%
Esteam,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,0,10,14,4,6,8,8,60%,43%,100%,83%,100%,50%,86%,60%,43%,83%,62%
Express,2,2,2,2,0,2,1,0,0,0,2,2,0,0,1,0,0,0,10,14,4,6,8,8,30%,29%,50%,83%,25%,13%,44%,30%,29%,43%,34%
Forever,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,14,4,6,8,8,40%,29%,0%,33%,0%,25%,28%,40%,29%,15%,28%
Fruit of the Loom,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,10,14,4,6,8,8,40%,29%,50%,100%,0%,25%,44%,40%,29%,44%,37%
Gap,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,0,0,1,10,14,4,6,8,8,50%,43%,100%,83%,75%,38%,75%,50%,43%,74%,56%
